timestamp,open,high,low,close,volume
2022-01-01 00:00:00,46432.81074035188,46956.012273813394,45780.788760573654,46490.42231885522,950.2205628413479
2022-01-01 04:00:00,46772.97651292006,47383.96025341337,46385.08299779659,46962.64327246093,1039.5188205642542
2022-01-01 08:00:00,46594.040616485094,46980.19196643538,46143.75802862233,46742.45531050048,962.2312773430185
2022-01-01 12:00:00,46837.02931648847,46886.61422677102,46223.50986117088,46821.809881804445,1141.7088210724753
2022-01-01 16:00:00,47037.25313432883,47175.785053506814,46098.50483853503,47057.17683226205,924.7091952511646
2022-01-01 20:00:00,46720.8768937875,47247.74851188894,46322.74169060483,46852.505466165494,1088.6044387394427
2022-01-02 00:00:00,46091.07601479203,46632.0932119924,45538.51266665075,46222.13879699314,1182.999469625923
2022-01-02 04:00:00,47430.49382394128,48080.536064576925,46687.90724545855,47331.250796782224,821.9125543627417
2022-01-02 08:00:00,46818.014259020136,47603.30185816693,46251.09814544448,46817.11962097838,1102.6474314958705
2022-01-02 12:00:00,46328.54358796905,46724.786171639986,45408.107450041185,46279.55818657651,1134.097421028175
2022-01-02 16:00:00,46499.834591104845,46943.64398887271,46254.732065052915,46270.62885305478,879.3150524206426
2022-01-02 20:00:00,46182.33213055774,46836.90243642558,45382.73140006046,46244.28479048165,1003.1132898683619
2022-01-03 00:00:00,46463.910005007456,47125.70726463951,45790.998116921,46387.86193830781,851.0682193204469
2022-01-03 04:00:00,46462.65985293394,46783.80679992348,46150.97314577249,46245.247500685946,867.668061521594
2022-01-03 08:00:00,47073.90743564318,47136.96635821862,46189.34008449371,47078.18291440355,1116.748001993483
2022-01-03 12:00:00,46801.57171067859,47683.76338811353,46094.42669641793,46938.447899390376,1135.672041032364
2022-01-03 16:00:00,47159.5658487339,47558.52290135151,46681.75321892469,47123.9266928353,970.9687139557981
2022-01-03 20:00:00,46310.14784057644,46464.63271963546,45546.822901505686,46265.30846218731,1118.113419669059
2022-01-04 00:00:00,46942.56730709265,47507.81000371717,46361.116412095726,47066.378605783706,1028.91961410124
2022-01-04 04:00:00,47478.05878363228,48263.5143580433,47167.09281985597,47438.28834457713,1005.0565860299034
2022-01-04 08:00:00,47217.90864019516,47833.758196296905,46974.0340224291,47067.08463967107,1182.8667477830531
2022-01-04 12:00:00,46982.26778761942,47556.84636547602,46462.86316482101,46955.98341430353,1178.3213051159764
2022-01-04 16:00:00,47152.43858627732,47506.366055474224,46383.933684886426,47314.645950643164,1047.9311740663527
2022-01-04 20:00:00,46278.3748656807,47197.20758059414,46178.62881884169,46490.182695428055,961.5190971871623
2022-01-05 00:00:00,47131.16062969589,48024.16815964957,46573.95707805392,46984.180780995,857.6555640777839
2022-01-05 04:00:00,46617.192946457406,47686.746038070865,46081.78697551943,46836.34069598427,1071.7597773894433
2022-01-05 08:00:00,46167.7740201337,47205.07898966531,45629.76487042539,46344.370687519884,1150.8829692297938
2022-01-05 12:00:00,46707.55322475991,47092.60481205181,45777.09137744513,46687.700348869526,1027.0660231423087
2022-01-05 16:00:00,46471.95410967078,46654.848274373515,46172.47017894906,46385.07069862934,1095.0628896375774
2022-01-05 20:00:00,47175.516438785286,47984.272824364445,47076.68980745551,47181.30267835396,816.4785497862873
2022-01-06 00:00:00,46914.08642285829,47224.27390336674,46186.017091802154,46910.30481729397,854.0826894822569
2022-01-06 04:00:00,47348.509081935415,47572.93425034296,46441.43647036962,47164.97250879515,857.4930539713515
2022-01-06 08:00:00,47018.577571835114,47785.92870752079,46095.12921128904,47227.80594422331,869.2178269228557
2022-01-06 12:00:00,46785.88295289131,47126.15949862794,46304.50656312879,46560.37548614681,876.0381716679614
2022-01-06 16:00:00,47178.38364824674,47427.48616796036,46533.36298947141,47192.89702641749,1138.1100838105938
2022-01-06 20:00:00,46499.87866801441,47236.07016183516,46309.50686318856,46465.96066110987,802.7297447395912
2022-01-07 00:00:00,46866.19291827201,46976.396288398966,46183.605049070844,46784.61959149893,912.9871398582325
2022-01-07 04:00:00,46018.54753236561,46287.61203228159,45786.23716111792,45991.43825922535,1061.1252276156745
